Date,compost_temp,pH_Value,NH3,H2S,CH4,soil_Moisture,ambient_temp,Humidity,City Mean Temperature (°C)
27-11-2024,46.66798246,5.61622807,90.46929825,105.3070175,129.7105263,60,25.41491228,72.32017544,22.4
28-11-2024,44.18866667,5.049266667,95.23333333,101.7466667,127.39,73.30666667,27.51533333,48.57333333,22.9
29-11-2024,45.16320988,6.528395062,96.04938272,114.1604938,132.8641975,76.96296296,27.41296296,74.19753086,21.5
01-12-2024,39.19,5.92216,88.8,112.2613333,138.232,79.488,27.3088,92.424,21
02-12-2024,37,8,120,141,169,52,26,95,21.4
03-12-2024,33.25,10.05286957,136.3173913,134.7275362,166.326087,91.55652174,25.72869565,95,22.7
04-12-2024,37.15957143,7.482642857,138.2035714,144.6714286,175.5285714,79.96428571,27.38785714,85.88928571,22.8
05-12-2024,35.44157738,8.05514881,115.4940476,130.8869048,163.9255952,87.51190476,27.26815476,82.26488095,24.4
06-12-2024,36,9,108,118,150,83,26,79,24.5
07-12-2024,38.37177632,9.601381579,116.2960526,122.3552632,160.8717105,92.06578947,28.725,68.45394737,24.8
08-12-2024,35.25854167,8.425833333,136.375,144.8680556,189.1111111,83.42361111,28.57638889,59.60416667,24.6
09-12-2024,33.13,9.228142857,129.6857143,154.9464286,184.0642857,80.59880952,27.75928571,65.35714286,23.8
10-12-2024,34.34139535,7.882965116,132.7790698,139.1569767,191.3372093,73.70348837,27.6122093,63.20348837,23.9
11-12-2024,43.05544944,4.607303371,186.1516854,175.6179775,213.488764,67.52808989,24.89382022,76.56741573,22.5
12-12-2024,43.60434426,6.603387978,102.1803279,110.8797814,140.2185792,84.3989071,23.51202186,95,21
13-12-2024,39.78168675,7.488674699,128.9427711,139.7831325,187.0271084,83.22891566,24.56355422,84.42771084,22
14-12-2024,37.44,4.853684211,114.6015038,136.0639098,167.0902256,89.29699248,25.96466165,74.31578947,22.7
15-12-2024,36,5,119,149,187,99,25,66,21.6
16-12-2024,34.85754011,7.802245989,162.1666667,154.5403226,203.6962366,95.59677419,26.53037634,50.53763441,21.4
17-12-2024,40.13315508,8.175721925,175.188172,170.6684492,219.0828877,91.49197861,27.7026738,72.30481283,21.9
18-12-2024,40.32858065,8.375354839,106.7032258,130.9935484,180.8967742,70.86129032,26.81387097,76.16129032,22.3
19-12-2024,37.01929577,7.971478873,208.7112676,153.9366197,210.0176056,86.52112676,27.40352113,77.25,23.5
20-12-2024,38.8043299,4.760412371,254.7628866,147.0618557,222.185567,66.16494845,27.99123711,71.5257732,24
21-12-2024,39.14212121,7.771878788,97.48773006,112.7652439,148.1493902,93.22256098,29.21272727,57.36060606,24.5
22-12-2024,38.90227941,6.595367647,106.2536765,119.7647059,157.1397059,65.4375,27.15404412,66.69852941,23.8
23-12-2024,34.42655172,6.639655172,153.6896552,157.1724138,226.3965517,79.60344828,27.35344828,65.43103448,23.2
24-12-2024,34.97131868,7.707362637,140.1483516,137.4945055,184.5494505,93.78571429,28.20824176,55.68956044,22.5
25-12-2024,33.63,6.577314815,110.962963,120.1481481,168.6666667,80.42592593,27.05092593,70.06481481,22.4
26-12-2024,31.6339726,6.588356164,96.23972603,114.6931034,139.8862069,81.18835616,24.87363014,86.96917808,22.5
27-12-2024,29.91771739,5.019402174,117.7418478,133.3152174,169.2065217,72.70380435,22.25163043,94.5923913,21.9
28-12-2024,27.41395238,6.027619048,141.1,148.647619,196.8952381,96.58571429,25.77619048,61,21.2
29-12-2024,26.06,5.024413793,144.9344828,145.4724138,201.9586207,79.99310345,27.57310345,49.79655172,22.4
30-12-2024,25.97448052,3.904480519,140.1428571,161.6168831,202.3538961,97.14935065,26.30519481,69.13311688,22.9
31-12-2024,25.55446071,3.904480519,156.6581201,177.2856338,231.065802,81.056234,26.9481,60.1321648,21.5
01-01-2025,25.30254902,4.800718954,173.3267974,192.9542484,259.7777778,64.96405229,25.98104575,51.44444444,21
02-01-2025,24.58067797,2.430734463,164.0451977,171.7570621,233.0564972,68.42372881,26.11864407,48.38418079,21.4
03-01-2025,24.19047619,4.731210938,151.4566929,155.9716981,216.1372549,47.33203125,26.52285714,44.671875,22.7
04-01-2025,23.39040019,4.53126381,138.868188,139.989334,199.218012,26.240333,26.92707,40.95951,22.8
05-01-2025,22.5604001,4.7441633,141.916108,154.4533,214.725912,42.533835,26.745549,43.582273,24.4
06-01-2025,22.45874101,5.482014388,144.9640288,168.9172662,230.2338129,58.82733813,26.56402878,46.20503597,24.5
07-01-2025,22.83421687,2.114036145,189.4879518,169.1204819,232.6987952,59.77108434,26.24698795,48.71686747,24.8
08-01-2025,23.33683544,2.411708861,182.7594937,192.2278481,250.0791139,66.5443038,27.31107595,25.95886076,24.6
09-01-2025,22.81280702,2.603333333,192.5204678,184.2280702,252.0350877,60.90350877,23.86169591,61.4619883,24.7
