Date,NH3,H2S,CH4,soil_Moisture,ambient_temp,Humidity,compost_temp,pH_Value
21-01-2025,158,178,227,69,27,,48,5.05
22-01-2025,177,195,247,81,29,,59,4.36
23-01-2025,170,218,249,89,31,44.66666667,53,6.73
24-01-2025,203.3333333,237.9527145,264.2017117,91,30.33333333,44.55555556,49.33333333,7.84573202
25-01-2025,236.6666667,248.9809415,292.2708507,93,29.66666667,35.66666667,45.66666667,7.298456048
26-01-2025,270,246,300,95,29,27.33333333,42,6.95
27-01-2025,250,232,288,69,29,26.11111111,40,6.97
28-01-2025,397,239,293,73,28,30,38,6.62
29-01-2025,344.5,274.1652703,320.2855449,73,27.5,39.33333333,36.5,6.392662202
30-01-2025,292,262,310,73,27,47,35,6.31
31-01-2025,193,179,235,91,31,49,34,6.2
01-02-2025,378,207,271,73,31,46.33333333,35,5.55
02-02-2025,273,270,321,82,31,36,35,4.35
03-02-2025,279.5,252.8651599,297.2656268,74,29.5,30.66666667,35.5,2.43495762
04-02-2025,286,236,280,66,28,29,36,2.67
05-02-2025,329,267,324,62,27,34.66666667,35,6.5
06-02-2025,307,193,252,80,28,37.66666667,35,6.28
07-02-2025,369,207,273,49,29,36.33333333,33,6.12
08-02-2025,312,262,324,73,26,37.33333333,32,3.72
09-02-2025,500,212,277,49,29,36.33333333,30,5.57
10-02-2025,494,224,295,60,27,38.66666667,31,5.5
11-02-2025,173,180,210,71,28,34,30,3.42
12-02-2025,168,166,190,45,29,28,30,3.7
13-02-2025,248,202,254,69,29,24.66666667,31,4.31
14-02-2025,188,144,197,52,30,25,31,4.65
15-02-2025,215.75,109.814581,164.5247146,53,29.75,30.33333333,30.25,4.534090928
16-02-2025,243.5,123.1889956,187.4976375,54,29.5,33,29.5,3.934173395
17-02-2025,271.25,161.4689124,230.7217416,55,29.25,35,28.75,3.249669165
18-02-2025,299,202,259,56,29,37,28,2.88
19-02-2025,346.1666667,226.8093227,272.3324126,50.83333333,29,37.77777778,28.16666667,2.825165901
20-02-2025,393.3333333,236.6495269,270.7189794,45.66666667,29,37.33333333,28.33333333,3.085166867
21-02-2025,440.5,236.9546547,254.1597004,40.5,29,35.66666667,28.5,3.660002899
22-02-2025,487.6666667,233.1587481,240.2315991,35.33333333,29,34,28.66666667,4.213727175
23-02-2025,534.8333333,230.6958492,246.511699,30.16666667,29,32.33333333,28.83333333,4.410392875
24-02-2025,582,235,273,25,29,30.66666667,29,4.25
25-02-2025,332,246,313,69,28,33.22222222,27,3.85
26-02-2025,337,247.2019756,326.3326856,62,28.5,35.16666667,27,3.915101583
27-02-2025,342,239,322,55,29,36.5,27,4.21
28-02-2025,343,227.386444,315.7003886,58.5,29.75,33.5,27.25,4.38193905
01-03-2025,344,218.3536782,307.4338515,62,30.5,31,27.5,4.430918734
02-03-2025,345,217.8940733,297.2003886,65.5,31.25,29,27.75,4.35693905
03-03-2025,346,232,285,69,32,27,28,4.16
